com.samsung.health.floors_climbed,6307003,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2025-02-21 13:55:04.832,,2025-02-21 14:49:14.226,2025-02-21 14:49:14.226,,,1.0,a3a4027c-468e-44e2-bfe2-5a4759a5a094.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-21 14:49:00.999,a3a4027c-468e-44e2-bfe2-5a4759a5a094,
2025-02-21 14:49:01.000,,2025-02-21 15:15:44.182,2025-02-21 15:15:44.007,,,3.0,98ae4fd8-594d-4f9d-afde-4a5ec1f72f61.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-21 15:14:26.000,98ae4fd8-594d-4f9d-afde-4a5ec1f72f61,
2025-02-21 15:14:26.000,,2025-02-21 16:09:18.373,2025-02-21 16:09:18.373,,,1.0,c98c16bb-b786-4373-83b9-a3d53a51ff8e.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-21 16:05:07.000,c98c16bb-b786-4373-83b9-a3d53a51ff8e,
2025-02-21 16:05:07.000,,2025-02-21 16:09:18.475,2025-02-21 16:09:18.475,,,1.0,f1f331af-ce19-4662-918b-39a79ac9622b.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-21 16:07:42.001,f1f331af-ce19-4662-918b-39a79ac9622b,
2025-02-22 12:33:02.008,,2025-02-22 23:08:00.736,2025-02-22 23:08:00.736,,,1.0,1cfff68a-014c-4185-bb58-257cc9bb3433.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-22 23:04:49.000,1cfff68a-014c-4185-bb58-257cc9bb3433,
2025-02-23 21:22:08.683,,2025-02-24 03:38:29.214,2025-02-24 03:37:37.554,,,2.0,6c99874c-5a43-4bb2-a978-446fec7a23a0.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-24 03:38:16.000,6c99874c-5a43-4bb2-a978-446fec7a23a0,
2025-02-24 05:00:00.000,,2025-02-24 18:58:57.951,2025-02-24 18:58:57.477,,,3.0,fa335cfa-a28d-4333-bb78-e30577fe2919.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-24 18:57:01.999,fa335cfa-a28d-4333-bb78-e30577fe2919,
2025-02-24 18:57:02.000,,2025-02-24 19:54:52.045,2025-02-24 19:54:52.045,,,1.0,ece3b310-3125-45cf-8373-b94352e6f032.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-24 19:50:37.000,ece3b310-3125-45cf-8373-b94352e6f032,
2025-02-24 19:50:36.999,,2025-02-24 20:38:23.473,2025-02-24 20:38:23.473,,,1.0,62073107-5681-4d70-8216-73619995bf54.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-24 20:37:37.000,62073107-5681-4d70-8216-73619995bf54,
2025-02-24 20:37:37.001,,2025-02-24 22:38:18.403,2025-02-24 22:38:18.403,,,1.0,9f7bc149-e464-4849-8580-32b9ad4badca.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-24 22:37:13.001,9f7bc149-e464-4849-8580-32b9ad4badca,
2025-02-24 22:37:13.000,,2025-02-25 02:11:24.577,2025-02-25 02:11:24.577,,,1.0,fc60a289-3b84-420b-9fd7-fa997a11a829.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-25 02:11:00.999,fc60a289-3b84-420b-9fd7-fa997a11a829,
2025-02-25 02:11:00.999,,2025-02-25 02:42:08.899,2025-02-25 02:42:08.899,,,1.0,68b3f049-b42f-455e-8d91-d7213fa650d6.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-25 02:41:01.999,68b3f049-b42f-455e-8d91-d7213fa650d6,
2025-02-25 05:00:00.000,,2025-02-25 16:30:07.099,2025-02-25 16:30:06.941,,,3.0,1cca2cf7-9cd0-42ec-9fd6-b7c36a808ea4.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-25 16:29:36.000,1cca2cf7-9cd0-42ec-9fd6-b7c36a808ea4,
2025-02-25 16:29:36.000,,2025-02-25 18:18:16.772,2025-02-25 18:18:16.772,,,1.0,15bad277-838a-4ac7-8ed2-2b376a0904aa.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-25 18:16:26.000,15bad277-838a-4ac7-8ed2-2b376a0904aa,
2025-02-25 18:16:26.000,,2025-02-25 23:42:30.267,2025-02-25 23:42:30.209,,,2.0,06bc299c-37a6-4ba2-9528-f4703457c548.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-25 23:40:06.000,06bc299c-37a6-4ba2-9528-f4703457c548,
2025-02-26 05:00:00.000,,2025-02-26 15:05:05.982,2025-02-26 15:05:05.919,,,2.0,90e8bfab-6e15-4fff-b97d-45c3f8bb68ef.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-26 15:04:19.999,90e8bfab-6e15-4fff-b97d-45c3f8bb68ef,
2025-02-26 15:04:19.999,,2025-02-26 16:17:58.418,2025-02-26 16:17:58.418,,,1.0,aa294340-db81-4471-9418-d94961a03029.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-26 16:15:33.000,aa294340-db81-4471-9418-d94961a03029,
2025-02-26 16:15:33.000,,2025-02-26 17:07:27.487,2025-02-26 17:07:27.487,,,1.0,30b9324e-3e37-476a-b55c-9d5f3cf37463.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-26 17:05:11.000,30b9324e-3e37-476a-b55c-9d5f3cf37463,
2025-02-26 17:05:11.000,,2025-02-26 17:10:22.859,2025-02-26 17:10:22.859,,,1.0,ea557ca2-b740-4e61-a2eb-e034365914e9.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-26 17:09:40.000,ea557ca2-b740-4e61-a2eb-e034365914e9,
2025-02-26 17:09:40.000,,2025-02-26 17:14:40.570,2025-02-26 17:14:40.570,,,1.0,77c72932-dabd-46b0-9f1a-f7d9575679c5.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-26 17:14:24.000,77c72932-dabd-46b0-9f1a-f7d9575679c5,
2025-02-26 17:14:24.000,,2025-02-26 18:42:49.400,2025-02-26 18:42:49.400,,,1.0,7cb4c77b-2540-49a7-b6b5-162046948f94.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-26 18:42:11.000,7cb4c77b-2540-49a7-b6b5-162046948f94,
