com.samsung.shealth.tracker.floors_day_summary,6307003,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
62810050,7c2f25d5-26e1-4259-9a36-24b41ad42aef.binning_data.json,62810050,2024-10-24 12:14:51.225,2024-10-24 12:14:51.225,0,2,ZYfDZ77fyr,com.sec.android.app.shealth,7c2f25d5-26e1-4259-9a36-24b41ad42aef,1729728000000,
62920010,52cc183e-d1c3-4ec7-8a73-43c3f091d676.binning_data.json,62930070,2025-03-17 03:50:13.010,2025-02-22 03:43:16.434,6,2,ZYfDZ77fyr,com.sec.android.app.shealth,52cc183e-d1c3-4ec7-8a73-43c3f091d676,1740096000000,
62930070,4ae71511-ba08-4ad5-a173-4577269b05cc.binning_data.json,62930070,2025-03-17 03:50:13.076,2025-02-23 15:08:07.273,1,2,ZYfDZ77fyr,com.sec.android.app.shealth,4ae71511-ba08-4ad5-a173-4577269b05cc,1740182400000,
62930070,48a80173-87c1-43da-a688-3e5e7039427e.binning_data.json,62930070,2025-03-17 03:50:12.172,2025-02-24 03:45:36.462,2,2,ZYfDZ77fyr,com.sec.android.app.shealth,48a80173-87c1-43da-a688-3e5e7039427e,1740268800000,
62930070,548417de-7937-45c8-90c8-071668adbd27.binning_data.json,62930070,2025-03-17 03:50:12.681,2025-02-24 18:59:06.887,8,2,ZYfDZ77fyr,com.sec.android.app.shealth,548417de-7937-45c8-90c8-071668adbd27,1740355200000,
62930070,00c45217-bd84-4330-b8e5-57df1506f03e.binning_data.json,62930070,2025-03-17 03:50:13.730,2025-02-25 16:32:45.475,6,2,ZYfDZ77fyr,com.sec.android.app.shealth,00c45217-bd84-4330-b8e5-57df1506f03e,1740441600000,
62930070,39be8da7-0d68-4387-8b12-1a66684f26bd.binning_data.json,62930070,2025-03-17 03:50:12.956,2025-02-26 15:08:08.640,9,2,ZYfDZ77fyr,com.sec.android.app.shealth,39be8da7-0d68-4387-8b12-1a66684f26bd,1740528000000,
62930070,cf8f9569-c3d1-4340-9a47-b9f3f437a0bf.binning_data.json,62930070,2025-03-17 03:50:12.091,2025-03-05 15:46:31.156,4,2,ZYfDZ77fyr,com.sec.android.app.shealth,cf8f9569-c3d1-4340-9a47-b9f3f437a0bf,1740700800000,
62930070,501a657e-5451-442d-b1f1-099e5cfec860.binning_data.json,62930070,2025-03-17 03:50:12.595,2025-03-05 15:46:31.368,9,2,ZYfDZ77fyr,com.sec.android.app.shealth,501a657e-5451-442d-b1f1-099e5cfec860,1740787200000,
62930070,5b770a2b-56aa-4f61-9606-6680a8647bac.binning_data.json,62930070,2025-03-17 03:50:12.876,2025-03-05 15:46:31.484,8,2,ZYfDZ77fyr,com.sec.android.app.shealth,5b770a2b-56aa-4f61-9606-6680a8647bac,1740960000000,
62930070,cd257d51-3cee-43fe-8ea4-40646044862d.binning_data.json,62930070,2025-03-17 03:50:13.491,2025-03-05 15:46:31.650,7,2,ZYfDZ77fyr,com.sec.android.app.shealth,cd257d51-3cee-43fe-8ea4-40646044862d,1741046400000,
62930070,ccdb8a6c-8742-4c24-9eb9-8ecbe24769ed.binning_data.json,62930070,2025-03-17 03:50:13.629,2025-03-05 15:46:31.666,7,2,ZYfDZ77fyr,com.sec.android.app.shealth,ccdb8a6c-8742-4c24-9eb9-8ecbe24769ed,1740614400000,
62930070,aa4406ef-9ce5-4c75-8a76-1ec493a3aaa0.binning_data.json,62930070,2025-03-17 03:50:11.989,2025-03-05 17:08:13.370,12,2,ZYfDZ77fyr,com.sec.android.app.shealth,aa4406ef-9ce5-4c75-8a76-1ec493a3aaa0,1741132800000,
62930070,589b7e7d-56c7-41f5-8130-361adb36701e.binning_data.json,62930070,2025-03-17 03:50:12.551,2025-03-06 16:32:43.056,7,2,ZYfDZ77fyr,com.sec.android.app.shealth,589b7e7d-56c7-41f5-8130-361adb36701e,1741219200000,
62930070,af12a209-5cee-432f-8a1d-096d54022b52.binning_data.json,62930070,2025-03-17 03:50:13.825,2025-03-07 17:34:10.000,7,2,ZYfDZ77fyr,com.sec.android.app.shealth,af12a209-5cee-432f-8a1d-096d54022b52,1741305600000,
62930070,d7582aa4-3154-485f-b018-6ea721c29d71.binning_data.json,62930070,2025-03-17 03:50:13.335,2025-03-09 17:52:35.067,3,2,ZYfDZ77fyr,com.sec.android.app.shealth,d7582aa4-3154-485f-b018-6ea721c29d71,1741478400000,
62930070,9500e3b1-ce7f-4a08-a4ab-fe3aaef77237.binning_data.json,62930070,2025-03-17 03:50:12.410,2025-03-11 16:02:14.194,5,2,ZYfDZ77fyr,com.sec.android.app.shealth,9500e3b1-ce7f-4a08-a4ab-fe3aaef77237,1741651200000,
62930070,55072211-8d5c-49a0-b841-6e962bcd0c51.binning_data.json,62950170,2025-04-09 01:59:13.712,2025-03-12 13:51:02.516,6,2,ZYfDZ77fyr,com.sec.android.app.shealth,55072211-8d5c-49a0-b841-6e962bcd0c51,1741737600000,
62930070,2814eed3-2a18-4a8b-b11c-50ab8e121f0c.binning_data.json,62950170,2025-04-09 17:38:02.214,2025-03-14 00:14:23.222,4,2,ZYfDZ77fyr,com.sec.android.app.shealth,2814eed3-2a18-4a8b-b11c-50ab8e121f0c,1741824000000,
62930070,1e3091e7-33f4-457b-a559-dd85597287c1.binning_data.json,62950170,2025-04-10 18:00:00.314,2025-03-14 14:13:49.317,2,2,ZYfDZ77fyr,com.sec.android.app.shealth,1e3091e7-33f4-457b-a559-dd85597287c1,1741910400000,
62930070,bd90c6d3-5188-481c-a65d-7bda1a001e58.binning_data.json,62950170,2025-04-11 19:20:41.266,2025-03-16 02:13:11.411,1,2,ZYfDZ77fyr,com.sec.android.app.shealth,bd90c6d3-5188-481c-a65d-7bda1a001e58,1741996800000,
62930070,2b548830-c81a-4ce2-85c0-c1ff247db86f.binning_data.json,62950170,2025-04-12 21:23:27.929,2025-03-17 03:50:11.197,5,2,ZYfDZ77fyr,com.sec.android.app.shealth,2b548830-c81a-4ce2-85c0-c1ff247db86f,1742083200000,
62950170,cf8ecdeb-25c9-4d17-8939-12e76e1ff283.binning_data.json,62950170,2025-05-01 14:10:24.276,2025-04-09 01:59:13.343,14,2,ZYfDZ77fyr,com.sec.android.app.shealth,cf8ecdeb-25c9-4d17-8939-12e76e1ff283,1743724800000,
62950170,d2ffc4ac-c854-46af-962d-d7831eab85e3.binning_data.json,62950170,2025-04-29 23:10:32.120,2025-04-09 01:59:13.433,4,2,ZYfDZ77fyr,com.sec.android.app.shealth,d2ffc4ac-c854-46af-962d-d7831eab85e3,1743552000000,
62950170,7c67f43e-05a3-4651-b383-bb92519d89d4.binning_data.json,62950170,2025-05-01 14:10:24.933,2025-04-09 01:59:13.471,9,2,ZYfDZ77fyr,com.sec.android.app.shealth,7c67f43e-05a3-4651-b383-bb92519d89d4,1743984000000,
62950170,63ca01e6-da88-40c1-aae0-bf81dd34ef9e.binning_data.json,62950170,2025-04-30 14:34:07.001,2025-04-09 01:59:13.555,7,2,ZYfDZ77fyr,com.sec.android.app.shealth,63ca01e6-da88-40c1-aae0-bf81dd34ef9e,1743638400000,
62950170,19358fa5-a2eb-4e6e-a990-24305e94e05d.binning_data.json,62950170,2025-04-28 21:34:57.437,2025-04-09 01:59:13.623,8,2,ZYfDZ77fyr,com.sec.android.app.shealth,19358fa5-a2eb-4e6e-a990-24305e94e05d,1743465600000,
62950170,c942f03c-016c-42c9-95fe-3365ae455d7e.binning_data.json,62950170,2025-05-01 14:10:25.979,2025-04-09 01:59:13.670,2,2,ZYfDZ77fyr,com.sec.android.app.shealth,c942f03c-016c-42c9-95fe-3365ae455d7e,1743897600000,
62950170,41d22e0b-b218-4913-bdde-a1ce35aa4bf6.binning_data.json,62950170,2025-05-01 14:10:24.473,2025-04-09 13:39:03.774,7,2,ZYfDZ77fyr,com.sec.android.app.shealth,41d22e0b-b218-4913-bdde-a1ce35aa4bf6,1744156800000,
62950170,5a9c5930-127d-4be3-a56e-87bff5862134.binning_data.json,62950170,2025-05-01 14:10:25.710,2025-04-10 14:47:58.353,8,2,ZYfDZ77fyr,com.sec.android.app.shealth,5a9c5930-127d-4be3-a56e-87bff5862134,1744243200000,
62950170,2a9657fd-c44d-406e-a27b-f6d24f6f23b6.binning_data.json,62950170,2025-05-01 14:10:25.936,2025-04-11 13:55:37.629,9,2,ZYfDZ77fyr,com.sec.android.app.shealth,2a9657fd-c44d-406e-a27b-f6d24f6f23b6,1744329600000,
62950170,194e825a-52e2-46de-af09-967ec48417e8.binning_data.json,62950170,2025-05-01 14:10:25.053,2025-04-13 15:35:41.484,3,2,ZYfDZ77fyr,com.sec.android.app.shealth,194e825a-52e2-46de-af09-967ec48417e8,1744502400000,
62950170,6c855814-f311-46b9-9d45-58f0396ed631.binning_data.json,62950170,2025-05-01 14:10:24.620,2025-04-18 13:55:41.818,5,2,ZYfDZ77fyr,com.sec.android.app.shealth,6c855814-f311-46b9-9d45-58f0396ed631,1744848000000,
62950170,a188ad8b-b668-4ac3-841e-291364a1f35b.binning_data.json,62950170,2025-05-01 14:10:25.580,2025-04-18 13:55:42.043,16,2,ZYfDZ77fyr,com.sec.android.app.shealth,a188ad8b-b668-4ac3-841e-291364a1f35b,1744675200000,
62950170,81afda41-ccfd-4a32-95c0-4308c4d13aac.binning_data.json,62950170,2025-05-01 14:10:25.872,2025-04-18 13:55:42.691,8,2,ZYfDZ77fyr,com.sec.android.app.shealth,81afda41-ccfd-4a32-95c0-4308c4d13aac,1744761600000,
62950170,b27e7ba0-b471-4e78-9b70-c129ccebcdb3.binning_data.json,62950170,2025-05-01 14:10:25.347,2025-04-18 14:22:07.163,9,2,ZYfDZ77fyr,com.sec.android.app.shealth,b27e7ba0-b471-4e78-9b70-c129ccebcdb3,1744934400000,
62950170,e6058753-beec-4b2f-bfc0-4fde35e3284b.binning_data.json,62950170,2025-05-01 14:10:25.542,2025-04-20 12:36:04.920,8,2,ZYfDZ77fyr,com.sec.android.app.shealth,e6058753-beec-4b2f-bfc0-4fde35e3284b,1745107200000,
62950170,36b89d80-d096-4e1d-b444-b419e9e50771.binning_data.json,62950170,2025-05-01 14:10:25.840,2025-04-21 13:44:23.038,8,2,ZYfDZ77fyr,com.sec.android.app.shealth,36b89d80-d096-4e1d-b444-b419e9e50771,1745193600000,
62950170,0e83cb6f-6cee-4076-a627-92633af04016.binning_data.json,62950170,2025-05-01 14:10:24.571,2025-04-22 15:41:03.792,2,2,ZYfDZ77fyr,com.sec.android.app.shealth,0e83cb6f-6cee-4076-a627-92633af04016,1745280000000,
62950170,b61378a9-e898-4c6e-b2d1-a1db3d937f9c.binning_data.json,62950170,2025-05-01 14:10:25.229,2025-04-23 17:00:27.727,8,2,ZYfDZ77fyr,com.sec.android.app.shealth,b61378a9-e898-4c6e-b2d1-a1db3d937f9c,1745366400000,
62950170,d33ddca8-704b-4966-a6f1-7b491caee6c5.binning_data.json,62950170,2025-05-01 14:10:24.353,2025-04-24 15:32:16.766,9,2,ZYfDZ77fyr,com.sec.android.app.shealth,d33ddca8-704b-4966-a6f1-7b491caee6c5,1745452800000,
62950170,053cb76c-be96-499b-9853-f23d98836a2d.binning_data.json,62950170,2025-05-01 14:10:25.503,2025-04-25 13:55:07.687,8,2,ZYfDZ77fyr,com.sec.android.app.shealth,053cb76c-be96-499b-9853-f23d98836a2d,1745539200000,
62950170,4fe68a15-3e5e-4ca8-8fb1-a5be38d8e9d5.binning_data.json,62950170,2025-05-01 14:10:24.515,2025-04-27 22:20:46.664,3,2,ZYfDZ77fyr,com.sec.android.app.shealth,4fe68a15-3e5e-4ca8-8fb1-a5be38d8e9d5,1745712000000,
62950170,8d09c772-16c4-4fff-868a-60f6472f1c6d.binning_data.json,62950170,2025-05-01 14:10:25.125,2025-04-28 18:17:25.962,9,2,ZYfDZ77fyr,com.sec.android.app.shealth,8d09c772-16c4-4fff-868a-60f6472f1c6d,1745798400000,
62950170,22a9d047-47da-4cfc-a821-c6d480265cbd.binning_data.json,62950170,2025-05-01 14:10:24.230,2025-04-29 18:12:25.495,5,2,ZYfDZ77fyr,com.sec.android.app.shealth,22a9d047-47da-4cfc-a821-c6d480265cbd,1745884800000,
62950170,e10110fd-e663-404c-9007-b89d8f4b3ad7.binning_data.json,62950170,2025-05-01 14:10:25.469,2025-04-30 14:34:07.033,3,2,ZYfDZ77fyr,com.sec.android.app.shealth,e10110fd-e663-404c-9007-b89d8f4b3ad7,1745971200000,
