com.samsung.shealth.tracker.pedometer_day_summary,6307003,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,980,4da1ed38-a237-4d32-b0dd-f4ac120ae9c5.binning_data.json,610539,6000,,0,2023-04-09 18:30:01.006,com.sec.android.app.shealth,2023-04-09 17:01:50.564,4da1ed38-a237-4d32-b0dd-f4ac120ae9c5.source_info.json,1.1783739,719.4435,35.103382,980,VfS0qUERdZ,com.sec.android.app.shealth,0,4da1ed38-a237-4d32-b0dd-f4ac120ae9c5.achievement.json,4da1ed38-a237-4d32-b0dd-f4ac120ae9c5,1680998400000,
,737,16eb1786-f3c5-4f90-b662-a4dcbbd6b2dc.binning_data.json,439172,6000,,0,2020-03-21 16:45:36.751,com.sec.android.app.shealth,2020-03-21 04:50:28.798,16eb1786-f3c5-4f90-b662-a4dcbbd6b2dc.source_info.json,1.2939341,568.26,30.66,737,VfS0qUERdZ,com.sec.android.app.shealth,0,16eb1786-f3c5-4f90-b662-a4dcbbd6b2dc.achievement.json,16eb1786-f3c5-4f90-b662-a4dcbbd6b2dc,1584748800000,
,2803,8f6cb517-9d80-49e9-845a-a96802f599d1.binning_data.json,1652246,6000,,13,2020-05-10 18:30:01.450,com.sec.android.app.shealth,2020-05-10 18:30:01.450,,2.854602,2168.08,116.09,2790,NCYwqyvfDX,com.sec.android.app.shealth,0,8f6cb517-9d80-49e9-845a-a96802f599d1.achievement.json,8f6cb517-9d80-49e9-845a-a96802f599d1,1589068800000,
,4839,bd53c808-3769-4817-abbe-c8a2d44220e5.binning_data.json,2760313,6000,,0,2020-07-02 18:21:04.870,com.sec.android.app.shealth,2020-07-01 20:18:09.317,bd53c808-3769-4817-abbe-c8a2d44220e5.source_info.json,1.3554001,3741.3293,196.09996,4839,VfS0qUERdZ,com.sec.android.app.shealth,0,bd53c808-3769-4817-abbe-c8a2d44220e5.achievement.json,bd53c808-3769-4817-abbe-c8a2d44220e5,1593648000000,
,3313,10bfff4b-1032-4cb9-b59e-3f5602d1b009.binning_data.json,811620,6000,,0,2019-06-27 18:30:01.907,com.sec.android.app.shealth,2019-06-27 18:30:01.907,,1.9166666,1022.37994,134.84999,3313,NCYwqyvfDX,com.sec.android.app.shealth,0,10bfff4b-1032-4cb9-b59e-3f5602d1b009.achievement.json,10bfff4b-1032-4cb9-b59e-3f5602d1b009,1561593600000,
,2111,0e3b0d17-9151-4cca-a030-f4346a5adc6d.binning_data.json,1287103,6000,,0,2020-03-02 18:30:01.685,com.sec.android.app.shealth,2020-03-02 18:30:01.685,,1.8888888,1617.2001,85.94999,2111,NCYwqyvfDX,com.sec.android.app.shealth,0,0e3b0d17-9151-4cca-a030-f4346a5adc6d.achievement.json,0e3b0d17-9151-4cca-a030-f4346a5adc6d,1583107200000,
,4241,cfe72841-8f68-4b02-9573-43ae20d310f2.binning_data.json,2550253,6000,,0,2020-06-02 18:30:01.424,com.sec.android.app.shealth,2020-06-02 18:30:01.424,,2.2500002,3147.7705,252.68988,4241,NCYwqyvfDX,com.sec.android.app.shealth,0,cfe72841-8f68-4b02-9573-43ae20d310f2.achievement.json,cfe72841-8f68-4b02-9573-43ae20d310f2,1591056000000,
,5495,e1b78e76-ed93-4722-86d1-16b860106fc0.binning_data.json,3394356,6000,,8,2019-11-20 16:18:01.676,com.sec.android.app.shealth,2019-11-20 01:39:05.060,e1b78e76-ed93-4722-86d1-16b860106fc0.source_info.json,1.2263235,4162.58,221.45998,5487,VfS0qUERdZ,com.sec.android.app.shealth,0,e1b78e76-ed93-4722-86d1-16b860106fc0.achievement.json,e1b78e76-ed93-4722-86d1-16b860106fc0,1574208000000,
,9144,bfd832e6-16f0-4089-bedf-4e2201b0ad8c.binning_data.json,5585516,6000,,10,2020-01-09 17:07:19.533,com.sec.android.app.shealth,2020-01-09 02:15:26.783,bfd832e6-16f0-4089-bedf-4e2201b0ad8c.source_info.json,1.2439225,6947.95,368.77,9134,VfS0qUERdZ,com.sec.android.app.shealth,0,bfd832e6-16f0-4089-bedf-4e2201b0ad8c.achievement.json,bfd832e6-16f0-4089-bedf-4e2201b0ad8c,1578528000000,
,629,41c7e03d-15d4-4ee1-9af7-a4a6cb9181ac.binning_data.json,138142,6000,,8,2019-09-22 15:43:49.321,com.sec.android.app.shealth,2019-09-21 18:50:34.828,,1.644362,182.42,37.429996,621,NCYwqyvfDX,com.sec.android.app.shealth,0,41c7e03d-15d4-4ee1-9af7-a4a6cb9181ac.achievement.json,41c7e03d-15d4-4ee1-9af7-a4a6cb9181ac,1569110400000,
