com.samsung.shealth.step_daily_trend,6307003,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
874784d8-30c5-4708-a8a8-1d4a3df6c3b2.binning_data.json,2023-11-09 02:48:10.652,2023-11-09 02:48:10.652,com.sec.android.app.shealth,0,1543,1.9474274,439.50006,57.099995,ZYfDZ77fyr,com.sec.android.app.shealth,874784d8-30c5-4708-a8a8-1d4a3df6c3b2,1560297600000,
0458865e-2f66-49f5-8a06-4e46319e5d3b.binning_data.json,2023-11-09 02:48:10.653,2023-11-09 02:48:10.653,com.sec.android.app.shealth,0,6410,2.0484169,2318.19,257.24994,ZYfDZ77fyr,com.sec.android.app.shealth,0458865e-2f66-49f5-8a06-4e46319e5d3b,1560384000000,
c953f316-e3ad-4b52-9123-61d386add220.binning_data.json,2023-11-09 02:48:10.653,2023-11-09 02:48:10.653,com.sec.android.app.shealth,0,10748,3.6955757,3977.0696,461.50992,ZYfDZ77fyr,com.sec.android.app.shealth,c953f316-e3ad-4b52-9123-61d386add220,1560470400000,
af52f47f-4908-4842-a996-8066307dc17d.binning_data.json,2023-11-09 02:48:10.653,2023-11-09 02:48:10.653,com.sec.android.app.shealth,0,8556,1.7777778,3036.7698,344.6799,ZYfDZ77fyr,com.sec.android.app.shealth,af52f47f-4908-4842-a996-8066307dc17d,1560556800000,
167a287b-af43-4269-a243-aaeb20202694.binning_data.json,2023-11-09 02:48:10.654,2023-11-09 02:48:10.654,com.sec.android.app.shealth,0,3724,1.5943373,1262.7899,151.60999,ZYfDZ77fyr,com.sec.android.app.shealth,167a287b-af43-4269-a243-aaeb20202694,1560643200000,
488c91b2-1d9d-434f-b88c-b9f342369575.binning_data.json,2023-11-09 02:48:10.654,2023-11-09 02:48:10.654,com.sec.android.app.shealth,0,5138,1.75,1767.38,207.69997,ZYfDZ77fyr,com.sec.android.app.shealth,488c91b2-1d9d-434f-b88c-b9f342369575,1560729600000,
527f507e-5599-4751-87fb-61b2fb6f17a9.binning_data.json,2023-11-09 02:48:10.654,2023-11-09 02:48:10.654,com.sec.android.app.shealth,0,1440,1.9722222,470.73996,58.429996,ZYfDZ77fyr,com.sec.android.app.shealth,527f507e-5599-4751-87fb-61b2fb6f17a9,1560816000000,
46baa1fb-58fe-46d9-990d-7d65900cd011.binning_data.json,2023-11-09 02:48:10.654,2023-11-09 02:48:10.654,com.sec.android.app.shealth,0,3310,2.2479253,1131.69,135.44998,ZYfDZ77fyr,com.sec.android.app.shealth,46baa1fb-58fe-46d9-990d-7d65900cd011,1560902400000,
b5a0e269-7568-4ff9-a5cc-6bad3171ded4.binning_data.json,2023-11-09 02:48:10.654,2023-11-09 02:48:10.654,com.sec.android.app.shealth,0,3853,1.8333336,1310.7501,156.13995,ZYfDZ77fyr,com.sec.android.app.shealth,b5a0e269-7568-4ff9-a5cc-6bad3171ded4,1560988800000,
b2b2e889-be2b-445e-8811-70cd65573872.binning_data.json,2023-11-09 02:48:10.655,2023-11-09 02:48:10.655,com.sec.android.app.shealth,0,4565,2.2099476,1409.37,186.55998,ZYfDZ77fyr,com.sec.android.app.shealth,b2b2e889-be2b-445e-8811-70cd65573872,1561075200000,
c98cf535-5f3b-41e0-ae66-71b2b59dec9b.binning_data.json,2023-11-09 02:48:10.655,2023-11-09 02:48:10.655,com.sec.android.app.shealth,0,3443,1.7654172,1209.5201,138.56998,ZYfDZ77fyr,com.sec.android.app.shealth,c98cf535-5f3b-41e0-ae66-71b2b59dec9b,1561161600000,
14145c54-c5e0-41a9-bb54-92964aa8b440.binning_data.json,2023-11-09 02:48:10.655,2023-11-09 02:48:10.655,com.sec.android.app.shealth,0,36921,3.0124657,13747.499,1562.2097,ZYfDZ77fyr,com.sec.android.app.shealth,14145c54-c5e0-41a9-bb54-92964aa8b440,1561248000000,
f625fdb1-5193-4f99-a1a4-9c03cb73a584.binning_data.json,2023-11-09 02:48:10.655,2023-11-09 02:48:10.655,com.sec.android.app.shealth,0,7195,1.8611114,2632.52,288.3899,ZYfDZ77fyr,com.sec.android.app.shealth,f625fdb1-5193-4f99-a1a4-9c03cb73a584,1561334400000,
cc519155-88a7-48c3-b12f-7e7207c0de7d.binning_data.json,2023-11-09 02:48:10.655,2023-11-09 02:48:10.655,com.sec.android.app.shealth,0,4325,2.2414663,1531.9698,174.46997,ZYfDZ77fyr,com.sec.android.app.shealth,cc519155-88a7-48c3-b12f-7e7207c0de7d,1561420800000,
f264c3db-c798-4302-8d70-4fa02bbceeb9.binning_data.json,2023-11-09 02:48:10.656,2023-11-09 02:48:10.656,com.sec.android.app.shealth,0,2281,2.0833333,715.50995,93.72999,ZYfDZ77fyr,com.sec.android.app.shealth,f264c3db-c798-4302-8d70-4fa02bbceeb9,1561507200000,
53825d37-bb6b-42d9-92ee-f2c3f3acd00c.binning_data.json,2023-11-09 02:48:10.656,2023-11-09 02:48:10.656,com.sec.android.app.shealth,0,3313,1.9166666,1022.37994,134.84999,ZYfDZ77fyr,com.sec.android.app.shealth,53825d37-bb6b-42d9-92ee-f2c3f3acd00c,1561593600000,
2f04c04f-9490-4a35-aa20-98723a8dce3d.binning_data.json,2023-11-09 02:48:10.656,2023-11-09 02:48:10.656,com.sec.android.app.shealth,0,5385,1.9766492,1608.73,220.35999,ZYfDZ77fyr,com.sec.android.app.shealth,2f04c04f-9490-4a35-aa20-98723a8dce3d,1561680000000,
8b917a70-d7db-4ac4-86c9-ec767541071c.binning_data.json,2023-11-09 02:48:10.656,2023-11-09 02:48:10.656,com.sec.android.app.shealth,0,3522,2.0277777,1062.28,144.95,ZYfDZ77fyr,com.sec.android.app.shealth,8b917a70-d7db-4ac4-86c9-ec767541071c,1561766400000,
7d19154d-b08d-4a13-8d94-13817b085f41.binning_data.json,2023-11-09 02:48:10.656,2023-11-09 02:48:10.656,com.sec.android.app.shealth,0,1302,1.7777778,343.79,53.84,ZYfDZ77fyr,com.sec.android.app.shealth,7d19154d-b08d-4a13-8d94-13817b085f41,1561852800000,
a41682ce-fdd6-40c3-8da2-746bc1a2f695.binning_data.json,2023-11-09 02:48:10.657,2023-11-09 02:48:10.657,com.sec.android.app.shealth,0,1310,1.7576429,415.56,52.689995,ZYfDZ77fyr,com.sec.android.app.shealth,a41682ce-fdd6-40c3-8da2-746bc1a2f695,1561939200000,
30bf158e-e779-4d50-a2ba-2883babc7f25.binning_data.json,2023-11-09 02:48:10.657,2023-11-09 02:48:10.657,com.sec.android.app.shealth,0,995,6.9444427,271.21,37.159996,ZYfDZ77fyr,com.sec.android.app.shealth,30bf158e-e779-4d50-a2ba-2883babc7f25,1562025600000,
0f6506aa-a48f-410d-9068-8ba82e2743f1.binning_data.json,2023-11-09 02:48:10.657,2023-11-09 02:48:10.657,com.sec.android.app.shealth,0,1979,1.8607577,528.77997,73.12,ZYfDZ77fyr,com.sec.android.app.shealth,0f6506aa-a48f-410d-9068-8ba82e2743f1,1562112000000,
927dd6c8-d2ee-4ecd-9669-c6c9e45037c7.binning_data.json,2023-11-09 02:48:10.657,2023-11-09 02:48:10.657,com.sec.android.app.shealth,0,2715,2.0277777,730.7,100.47,ZYfDZ77fyr,com.sec.android.app.shealth,927dd6c8-d2ee-4ecd-9669-c6c9e45037c7,1562198400000,
da392ecc-d402-4404-b1d6-0700119cb2af.binning_data.json,2023-11-09 02:48:10.657,2023-11-09 02:48:10.657,com.sec.android.app.shealth,0,3915,1.9722222,1088.85,142.37,ZYfDZ77fyr,com.sec.android.app.shealth,da392ecc-d402-4404-b1d6-0700119cb2af,1562284800000,
110be003-2ffc-465a-8092-848c18544dd5.binning_data.json,2023-11-09 02:48:10.658,2023-11-09 02:48:10.658,com.sec.android.app.shealth,0,2651,1.8611114,742.42004,97.939995,ZYfDZ77fyr,com.sec.android.app.shealth,110be003-2ffc-465a-8092-848c18544dd5,1562371200000,
1acc0920-b636-4f17-a081-a967aa79fd2c.binning_data.json,2023-11-09 02:48:10.658,2023-11-09 02:48:10.658,com.sec.android.app.shealth,0,2236,2.0833335,697.27,84.399994,ZYfDZ77fyr,com.sec.android.app.shealth,1acc0920-b636-4f17-a081-a967aa79fd2c,1562457600000,
05ec3120-a269-4577-a36c-d60e4107ef10.binning_data.json,2023-11-09 02:48:10.658,2023-11-09 02:48:10.658,com.sec.android.app.shealth,0,1552,3.1111116,483.72003,60.379997,ZYfDZ77fyr,com.sec.android.app.shealth,05ec3120-a269-4577-a36c-d60e4107ef10,1562544000000,
934291d7-02d1-4168-b00d-c9f62485d812.binning_data.json,2023-11-09 02:48:10.658,2023-11-09 02:48:10.658,com.sec.android.app.shealth,0,5158,3.1567476,1678.88,199.45,ZYfDZ77fyr,com.sec.android.app.shealth,934291d7-02d1-4168-b00d-c9f62485d812,1562630400000,
d5a74d03-0d7a-492f-98de-3c6b44b55685.binning_data.json,2023-11-09 02:48:10.658,2023-11-09 02:48:10.658,com.sec.android.app.shealth,0,4344,2.228417,1341.8401,161.79997,ZYfDZ77fyr,com.sec.android.app.shealth,d5a74d03-0d7a-492f-98de-3c6b44b55685,1562716800000,
878c38cd-8862-4a24-9944-118ed1e21c3a.binning_data.json,2023-11-09 02:48:10.658,2023-11-09 02:48:10.658,com.sec.android.app.shealth,0,818,1.8333336,225.95999,29.689999,ZYfDZ77fyr,com.sec.android.app.shealth,878c38cd-8862-4a24-9944-118ed1e21c3a,1562803200000,
c0a1c214-5a13-493b-9d2d-05932f353bed.binning_data.json,2023-11-09 02:48:10.659,2023-11-09 02:48:10.659,com.sec.android.app.shealth,0,938,1.8816013,265.18,33.989998,ZYfDZ77fyr,com.sec.android.app.shealth,c0a1c214-5a13-493b-9d2d-05932f353bed,1562889600000,
e062da1f-c337-42eb-bd25-710f114bcb91.binning_data.json,2023-11-09 02:48:10.659,2023-11-09 02:48:10.659,com.sec.android.app.shealth,0,6525,2.8829112,2019.58,243.22998,ZYfDZ77fyr,com.sec.android.app.shealth,e062da1f-c337-42eb-bd25-710f114bcb91,1562976000000,
6e018ce9-b7b2-4e64-9d75-34cdd33c6098.binning_data.json,2023-11-09 02:48:10.659,2023-11-09 02:48:10.659,com.sec.android.app.shealth,0,8473,3.9830072,2664.8,320.28998,ZYfDZ77fyr,com.sec.android.app.shealth,6e018ce9-b7b2-4e64-9d75-34cdd33c6098,1563062400000,
c0f95d41-2976-4ac3-9827-9ba13eecf0d1.binning_data.json,2023-11-09 02:48:10.659,2023-11-09 02:48:10.659,com.sec.android.app.shealth,0,2909,2.5,854.82,109.47,ZYfDZ77fyr,com.sec.android.app.shealth,c0f95d41-2976-4ac3-9827-9ba13eecf0d1,1563148800000,
69755236-b1c2-46f4-93ee-fcb40632b5d0.binning_data.json,2023-11-09 02:48:10.660,2023-11-09 02:48:10.660,com.sec.android.app.shealth,0,7437,3.8888886,2316.73,280.12,ZYfDZ77fyr,com.sec.android.app.shealth,69755236-b1c2-46f4-93ee-fcb40632b5d0,1563235200000,
31c39056-772b-440a-bda8-15057feffd26.binning_data.json,2023-11-09 02:48:10.660,2023-11-09 02:48:10.660,com.sec.android.app.shealth,0,2001,1.7529753,688.5,80.89,ZYfDZ77fyr,com.sec.android.app.shealth,31c39056-772b-440a-bda8-15057feffd26,1563321600000,
3f42b73e-f150-47ce-a966-79fcea249e69.binning_data.json,2023-11-09 02:48:10.660,2023-11-09 02:48:10.660,com.sec.android.app.shealth,0,4356,2.2634623,1473.5399,176.95998,ZYfDZ77fyr,com.sec.android.app.shealth,3f42b73e-f150-47ce-a966-79fcea249e69,1563408000000,
a201887b-0237-4672-a59c-83ab38e1bebf.binning_data.json,2023-11-09 02:48:10.660,2023-11-09 02:48:10.660,com.sec.android.app.shealth,0,5635,2.0244377,1792.57,230.46997,ZYfDZ77fyr,com.sec.android.app.shealth,a201887b-0237-4672-a59c-83ab38e1bebf,1563494400000,
ea2c4fd3-1bb9-49d4-859e-9cc9e3c1b529.binning_data.json,2023-11-09 02:48:10.660,2023-11-09 02:48:10.660,com.sec.android.app.shealth,0,6404,6.9444447,2228.54,259.76993,ZYfDZ77fyr,com.sec.android.app.shealth,ea2c4fd3-1bb9-49d4-859e-9cc9e3c1b529,1563580800000,
2873d031-27ac-4b1d-8b13-f17f146cce79.binning_data.json,2023-11-09 02:48:10.660,2023-11-09 02:48:10.660,com.sec.android.app.shealth,0,1419,1.8888888,457.63,57.659996,ZYfDZ77fyr,com.sec.android.app.shealth,2873d031-27ac-4b1d-8b13-f17f146cce79,1563667200000,
e1c35417-0afa-4560-9c6d-faf8303dfad8.binning_data.json,2023-11-09 02:48:10.661,2023-11-09 02:48:10.661,com.sec.android.app.shealth,0,2073,1.9767374,688.24,84.46,ZYfDZ77fyr,com.sec.android.app.shealth,e1c35417-0afa-4560-9c6d-faf8303dfad8,1563753600000,
48832051-b2fd-4858-9a58-11d567b1dc5e.binning_data.json,2023-11-09 02:48:10.661,2023-11-09 02:48:10.661,com.sec.android.app.shealth,0,888,2.1666665,262.43,36.28,ZYfDZ77fyr,com.sec.android.app.shealth,48832051-b2fd-4858-9a58-11d567b1dc5e,1563840000000,
c8bad45d-2829-46a8-a678-2e5ac0af71ae.binning_data.json,2023-11-09 02:48:10.661,2023-11-09 02:48:10.661,com.sec.android.app.shealth,0,1152,1.6631842,361.88,46.909996,ZYfDZ77fyr,com.sec.android.app.shealth,c8bad45d-2829-46a8-a678-2e5ac0af71ae,1563926400000,
4a9c213b-70f2-41e3-a20e-dc1a823d7adc.binning_data.json,2023-11-09 02:48:10.661,2023-11-09 02:48:10.661,com.sec.android.app.shealth,0,2496,1.8333336,820.0301,96.01998,ZYfDZ77fyr,com.sec.android.app.shealth,4a9c213b-70f2-41e3-a20e-dc1a823d7adc,1564012800000,
38f4225d-7175-4634-a3f0-3964b7b34710.binning_data.json,2023-11-09 02:48:10.661,2023-11-09 02:48:10.661,com.sec.android.app.shealth,0,4457,2.90462,1503.3699,181.29997,ZYfDZ77fyr,com.sec.android.app.shealth,38f4225d-7175-4634-a3f0-3964b7b34710,1564099200000,
f74d0618-115f-42f6-98ae-545504efe2af.binning_data.json,2023-11-09 02:48:10.661,2023-11-09 02:48:10.661,com.sec.android.app.shealth,0,1994,2.6755846,671.07,81.86,ZYfDZ77fyr,com.sec.android.app.shealth,f74d0618-115f-42f6-98ae-545504efe2af,1564185600000,
4e30c2a7-8bf8-491f-9796-ab4920b73022.binning_data.json,2023-11-09 02:48:10.662,2023-11-09 02:48:10.662,com.sec.android.app.shealth,0,2782,3.7444105,952.36,118.2,ZYfDZ77fyr,com.sec.android.app.shealth,4e30c2a7-8bf8-491f-9796-ab4920b73022,1564272000000,
1de38f2c-e612-435d-aeca-29698ea088ca.binning_data.json,2023-11-09 02:48:10.662,2023-11-09 02:48:10.662,com.sec.android.app.shealth,0,2080,1.8311292,627.3,87.41999,ZYfDZ77fyr,com.sec.android.app.shealth,1de38f2c-e612-435d-aeca-29698ea088ca,1564358400000,
b066ee89-6dce-476d-8e99-b37be4b5f16c.binning_data.json,2023-11-09 02:48:10.662,2023-11-09 02:48:10.662,com.sec.android.app.shealth,0,2989,1.6944444,955.86,121.42,ZYfDZ77fyr,com.sec.android.app.shealth,b066ee89-6dce-476d-8e99-b37be4b5f16c,1564444800000,
e875bad2-b518-415e-ab8c-782b3d0e312e.binning_data.json,2023-11-09 02:48:10.662,2023-11-09 02:48:10.662,com.sec.android.app.shealth,0,4067,2.5,1297.8701,156.44998,ZYfDZ77fyr,com.sec.android.app.shealth,e875bad2-b518-415e-ab8c-782b3d0e312e,1564531200000,
63060a76-d8ac-46d4-a5c3-ea96db8a02a8.binning_data.json,2023-11-09 02:48:10.662,2023-11-09 02:48:10.662,com.sec.android.app.shealth,0,5461,1.9722222,1768.0203,209.75996,ZYfDZ77fyr,com.sec.android.app.shealth,63060a76-d8ac-46d4-a5c3-ea96db8a02a8,1564617600000,
2d76687b-89ed-4aa8-a056-377758284d07.binning_data.json,2023-11-09 02:48:10.662,2023-11-09 02:48:10.662,com.sec.android.app.shealth,0,3501,1.8333336,1132.6101,131.17998,ZYfDZ77fyr,com.sec.android.app.shealth,2d76687b-89ed-4aa8-a056-377758284d07,1564704000000,
c760ca00-d9ee-419b-98da-4903545db962.binning_data.json,2023-11-09 02:48:10.663,2023-11-09 02:48:10.663,com.sec.android.app.shealth,0,430,1.8000942,113.310005,17.73,ZYfDZ77fyr,com.sec.android.app.shealth,c760ca00-d9ee-419b-98da-4903545db962,1564790400000,
6496c354-02a9-422e-ad96-9a2cccafe520.binning_data.json,2023-11-09 02:48:10.663,2023-11-09 02:48:10.663,com.sec.android.app.shealth,0,347,2.0787508,91.549995,14.46,ZYfDZ77fyr,com.sec.android.app.shealth,6496c354-02a9-422e-ad96-9a2cccafe520,1564876800000,
00e7e089-6730-46a6-a2b0-7c363a61ab73.binning_data.json,2023-11-09 02:48:10.663,2023-11-09 02:48:10.663,com.sec.android.app.shealth,0,104,1.6466832,25.45,4.18,ZYfDZ77fyr,com.sec.android.app.shealth,00e7e089-6730-46a6-a2b0-7c363a61ab73,1564963200000,
fc56dd30-038a-4a2a-a430-0cfb2ee05dd0.binning_data.json,2023-11-09 02:48:10.663,2023-11-09 02:48:10.663,com.sec.android.app.shealth,0,434,1.8745652,123.509995,18.36,ZYfDZ77fyr,com.sec.android.app.shealth,fc56dd30-038a-4a2a-a430-0cfb2ee05dd0,1565049600000,
06e5c5ea-41bd-4b4b-8c15-f7853ab1fb1f.binning_data.json,2023-11-09 02:48:10.663,2023-11-09 02:48:10.663,com.sec.android.app.shealth,0,437,1.8055556,119.82,18.0,ZYfDZ77fyr,com.sec.android.app.shealth,06e5c5ea-41bd-4b4b-8c15-f7853ab1fb1f,1565136000000,
35d83089-4b3a-4413-b2f2-0ca84e31fc70.binning_data.json,2023-11-09 02:48:10.664,2023-11-09 02:48:10.664,com.sec.android.app.shealth,0,341,1.8333336,97.78,13.889999,ZYfDZ77fyr,com.sec.android.app.shealth,35d83089-4b3a-4413-b2f2-0ca84e31fc70,1565222400000,
c12255d4-ef40-4c0a-8963-a383983f00ef.binning_data.json,2023-11-09 02:48:10.664,2023-11-09 02:48:10.664,com.sec.android.app.shealth,0,405,2.2996976,112.32,17.34,ZYfDZ77fyr,com.sec.android.app.shealth,c12255d4-ef40-4c0a-8963-a383983f00ef,1565308800000,
e36a90e4-53ba-40b5-ba4b-3a3fa2e6515c.binning_data.json,2023-11-09 02:48:10.664,2023-11-09 02:48:10.664,com.sec.android.app.shealth,0,709,3.1388888,199.07,29.41,ZYfDZ77fyr,com.sec.android.app.shealth,e36a90e4-53ba-40b5-ba4b-3a3fa2e6515c,1565395200000,
17a6a6b2-12b1-485c-a664-9bf075365c4f.binning_data.json,2023-11-09 02:48:10.664,2023-11-09 02:48:10.664,com.sec.android.app.shealth,0,3117,3.270647,944.96,118.42999,ZYfDZ77fyr,com.sec.android.app.shealth,17a6a6b2-12b1-485c-a664-9bf075365c4f,1565481600000,
5f2f8b87-53c7-4c85-9606-8cef8ed6499e.binning_data.json,2023-11-09 02:48:10.664,2023-11-09 02:48:10.664,com.sec.android.app.shealth,0,3883,1.6328125,1329.43,151.81999,ZYfDZ77fyr,com.sec.android.app.shealth,5f2f8b87-53c7-4c85-9606-8cef8ed6499e,1565568000000,
38da7399-97d4-4ed4-8a52-05fe38db959f.binning_data.json,2023-11-09 02:48:10.665,2023-11-09 02:48:10.665,com.sec.android.app.shealth,0,1262,1.5833335,420.33002,49.25,ZYfDZ77fyr,com.sec.android.app.shealth,38da7399-97d4-4ed4-8a52-05fe38db959f,1565654400000,
72e221d1-c022-4c92-85cd-cc7aa79e99c8.binning_data.json,2023-11-09 02:48:10.665,2023-11-09 02:48:10.665,com.sec.android.app.shealth,0,5843,3.4722223,1994.72,225.20999,ZYfDZ77fyr,com.sec.android.app.shealth,72e221d1-c022-4c92-85cd-cc7aa79e99c8,1565740800000,
da0b25c2-3429-4efd-8f07-661fd7ab330a.binning_data.json,2023-11-09 02:48:10.665,2023-11-09 02:48:10.665,com.sec.android.app.shealth,0,1860,4.8126736,507.66,70.59,ZYfDZ77fyr,com.sec.android.app.shealth,da0b25c2-3429-4efd-8f07-661fd7ab330a,1565827200000,
6f9144be-eba9-415c-8ece-b2a9422b3650.binning_data.json,2023-11-09 02:48:10.665,2023-11-09 02:48:10.665,com.sec.android.app.shealth,0,6670,2.8611112,2200.9102,256.25998,ZYfDZ77fyr,com.sec.android.app.shealth,6f9144be-eba9-415c-8ece-b2a9422b3650,1565913600000,
88dce4e9-1c70-4f2a-8a6e-57ccde3bef4a.binning_data.json,2023-11-09 02:48:10.665,2023-11-09 02:48:10.665,com.sec.android.app.shealth,0,7602,3.1296399,2512.77,295.61996,ZYfDZ77fyr,com.sec.android.app.shealth,88dce4e9-1c70-4f2a-8a6e-57ccde3bef4a,1566000000000,
9596d3a1-2493-472f-b6e3-a0c5145ca14f.binning_data.json,2023-11-09 02:48:10.665,2023-11-09 02:48:10.665,com.sec.android.app.shealth,0,2522,2.877074,704.9,94.59,ZYfDZ77fyr,com.sec.android.app.shealth,9596d3a1-2493-472f-b6e3-a0c5145ca14f,1566086400000,
df6bdbc1-fa3c-4362-84a4-8d60ba1fba9a.binning_data.json,2023-11-09 02:48:10.666,2023-11-09 02:48:10.666,com.sec.android.app.shealth,0,14311,2.1944447,4736.8403,557.49994,ZYfDZ77fyr,com.sec.android.app.shealth,df6bdbc1-fa3c-4362-84a4-8d60ba1fba9a,1566172800000,
3982d440-0086-4eae-b41e-68c3af325fa7.binning_data.json,2023-11-09 02:48:10.666,2023-11-09 02:48:10.666,com.sec.android.app.shealth,0,10288,2.7777772,3462.8105,619.64984,ZYfDZ77fyr,com.sec.android.app.shealth,3982d440-0086-4eae-b41e-68c3af325fa7,1566259200000,
