com.samsung.health.water_intake,6307003,6
start_time,amount,custom,update_time,create_time,client_data_id,client_data_ver,time_offset,deviceuuid,unit_amount,comment,pkg_name,datauuid
2020-07-08 03:53:00.834,250.0,,2020-07-08 03:53:01.195,2020-07-08 03:53:01.195,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,c73779d9-e0e4-4a5f-86eb-37ccbc913268,
2020-07-12 17:37:39.171,250.0,,2020-07-12 17:37:39.531,2020-07-12 17:37:39.531,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,8801acd2-80e2-449f-88fd-591d83b86678,
2020-07-17 04:28:03.930,250.0,,2020-07-17 04:28:04.289,2020-07-17 04:28:04.289,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,303b3af6-832f-4551-b0fb-409c028e848a,
2021-04-10 17:56:17.598,250.0,,2021-04-10 17:56:17.953,2021-04-10 17:56:17.953,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,efc44a72-ef58-4faf-95b3-f495c48d87d5,
2021-04-10 17:56:16.262,250.0,,2021-04-10 17:56:16.618,2021-04-10 17:56:16.618,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,16aa6121-f4d7-4296-ae2f-c22427381e1c,
2020-07-20 12:15:20.630,250.0,,2020-07-20 12:15:20.991,2020-07-20 12:15:20.991,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,9b40e98d-14ef-40b7-a235-f14803e2955c,
2021-04-10 17:56:13.491,250.0,,2021-04-10 17:56:13.910,2021-04-10 17:56:13.910,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,ccf94b5c-f8d6-416e-acb2-750b047f107d,
2020-07-07 13:11:47.773,250.0,,2020-07-07 13:11:48.130,2020-07-07 13:11:48.130,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,0d66e845-2e0d-4fb8-88fb-83248ced4c0f,
2020-07-17 07:10:08.210,250.0,,2020-07-17 07:10:08.587,2020-07-17 07:10:08.587,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,6fe36e30-0681-4517-9d2b-c71980752109,
2020-07-15 15:50:39.852,250.0,,2020-07-15 15:50:40.293,2020-07-15 15:50:40.293,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,9e6b8e60-ef70-410b-b508-8bf3df824380,
2020-07-17 19:19:36.467,250.0,,2020-07-17 19:19:36.828,2020-07-17 19:19:36.828,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,5af8e4ff-43d3-4a6b-8127-89d5324b8beb,
2020-07-16 16:29:36.955,250.0,,2020-07-16 16:29:37.316,2020-07-16 16:29:37.316,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,3df809fb-de11-412e-9124-9f1f32034277,
