date,rest_calorie,active_calorie,total_calories_burned
2019-05-16,1610.3641,0.0,1610.3641
2019-05-17,1610.3641,0.0,1610.3641
2019-05-18,1610.3641,0.0,1610.3641
2019-05-19,1610.3641,0.0,1610.3641
2019-05-20,1610.3641,0.0,1610.3641
2019-05-21,1610.3641,0.0,1610.3641
2019-05-22,1610.3641,0.0,1610.3641
2019-05-23,1610.3641,0.0,1610.3641
2019-05-24,1610.3641,0.0,1610.3641
2019-05-25,1610.3641,0.0,1610.3641
2019-05-26,1610.3641,0.0,1610.3641
2019-05-27,1610.3641,0.0,1610.3641
2019-05-28,1610.3641,0.0,1610.3641
2019-05-29,1610.3641,0.0,1610.3641
2019-05-30,1610.3641,0.0,1610.3641
2019-05-31,1610.3641,0.0,1610.3641
2019-06-01,1610.3641,0.0,1610.3641
2019-06-02,1610.3641,0.0,1610.3641
2019-06-03,1610.3641,0.0,1610.3641
2019-06-04,1610.3641,0.0,1610.3641
2019-06-05,1610.3641,0.0,1610.3641
2019-06-06,1610.3641,0.0,1610.3641
2019-06-07,1610.3641,0.0,1610.3641
2019-06-08,1610.3641,0.0,1610.3641
2019-06-09,1610.3641,0.0,1610.3641
2019-06-10,1610.3641,0.0,1610.3641
2019-06-11,1610.3641,0.0,1610.3641
2019-06-12,1591.2574,57.099987,1648.357387
2019-06-13,1533.8315,257.25,1791.0815
2019-06-14,1483.745,462.84106,1946.5860599999999
2019-06-15,1508.9475,344.67993,1853.62743
2019-06-16,1565.8079,151.60997,1717.41787
2019-06-17,1548.2798,207.7,1755.9798
2019-06-18,1593.2363,58.43,1651.6663
2019-06-19,1569.8582,135.44998,1705.30818
2019-06-20,1563.3668,156.13995,1719.50675
2019-06-21,1553.9585,186.55998,1740.51848
2019-06-22,1568.316,138.56999,1706.88599
2019-06-23,1198.3427,1571.1862,2769.5289000000002
2019-06-24,1524.45,288.38995,1812.83995
2019-06-25,1558.5306,174.46999,1733.00059
2019-06-26,1582.4891,93.72999,1676.21909
2019-06-27,1569.5402,134.85004,1704.39024
2019-06-28,1544.2219,220.36,1764.5819000000001
2019-06-29,1567.0513,144.95001,1712.00131
2019-06-30,1594.1779,53.84,1648.0178999999998
2019-07-01,1594.2666,52.689983,1646.956583
2019-07-02,1597.9993,37.159992,1635.159292
2019-07-03,1585.7664,73.12002,1658.88642
2019-07-04,1576.6216,100.46999,1677.09159
2019-07-05,1561.6934,142.37,1704.0634
2019-07-06,1577.4121,97.94002,1675.35212
2019-07-07,1582.6572,84.4,1667.0572000000002
2019-07-08,1591.733,60.38,1652.113
2019-07-09,1547.3073,199.44997,1746.75727
2019-07-10,1557.197,161.79997,1718.99697
2019-07-11,1600.2247,29.689997,1629.914697
2019-07-12,1598.703,33.989994,1632.692994
2019-07-13,1531.4514,243.23004,1774.6814399999998
2019-07-14,1507.4851,320.28995,1827.7750500000002
2019-07-15,1574.5436,109.47003,1684.01363
2019-07-16,1520.684,280.11996,1800.80396
2019-07-17,1586.8629,80.89,1667.7529000000002
2019-07-18,1557.6425,176.95999,1734.60249
2019-07-19,1541.4718,230.47,1771.9418
2019-07-20,1532.4725,259.76993,1792.24243
2019-07-21,1593.2104,57.659996,1650.870396
2019-07-22,1586.2214,84.46,1670.6814
2019-07-23,1599.3375,36.280003,1635.6175030000002
2019-07-24,1596.0679,46.91,1642.9779
2019-07-25,1580.4089,96.01999,1676.42889
2019-07-26,1557.52,181.29997,1738.81997
2019-07-27,1586.671,81.86001,1668.5310100000002
2019-07-28,1577.8125,118.20003,1696.01253
2019-07-29,1585.1531,87.42001,1672.57311
2019-07-30,1573.594,121.41999,1695.0139900000001
2019-07-31,1561.4098,156.45,1717.8598
2019-08-01,1543.9485,209.76001,1753.70851
2019-08-02,1568.4114,131.17998,1699.5913799999998
2019-08-03,1605.0184,17.730003,1622.7484029999998
2019-08-04,2140.4944,14.46,2154.9544
2019-08-05,2144.5208,4.1800003,2148.7008002999996
2019-08-06,2139.0596,18.36,2157.4196
2019-08-07,2139.0032,18.0,2157.0032
2019-08-08,2140.5938,13.889999,2154.483799
2019-08-09,2139.5466,17.34,2156.8866000000003
2019-08-10,2134.5232,29.410004,2163.933204
2019-08-11,2095.7195,118.43001,2214.14951
2019-08-12,2084.0752,151.81999,2235.89519
2019-08-13,2125.886,49.25,2175.136
2019-08-14,2056.2969,225.40668,2281.70358
2019-08-15,2115.4656,70.59001,2186.05561
2019-08-16,2039.7357,256.25995,2295.99565
2019-08-17,2025.7915,295.94452,2321.7360200000003
2019-08-18,2104.5103,94.59,2199.1003
2019-08-19,1915.9431,557.50006,2473.44316
2019-08-20,1982.8829,620.94977,2603.83267
2019-08-21,2116.3408,108.82999,2225.17079
2019-08-22,2120.374,92.99999,2213.3739899999996
2019-08-23,2094.2175,189.01001,2283.22751
2019-08-24,2110.8196,124.65999,2235.47959
2019-08-25,2034.793,395.18005,2429.97305
2019-08-26,2028.3451,432.76004,2461.10514
2019-08-27,1866.7771,1078.5444,2945.3215
2019-08-28,1922.2037,852.02014,2774.22384
2019-08-29,1867.0629,1087.3022,2954.3651
2019-08-30,2030.0808,438.82007,2468.90087
2019-08-31,2129.0188,63.809986,2192.828786
2019-09-01,2116.1216,106.28997,2222.4115699999998
2019-09-02,2129.6228,59.879993,2189.502793
2019-09-03,1945.2695,784.75146,2730.02096
2019-09-04,2064.3335,304.74997,2369.08347
2019-09-05,2100.9465,167.76006,2268.70656
2019-09-06,2108.967,134.59999,2243.5669900000003
2019-09-07,2065.9592,299.3699,2365.3291
2019-09-08,2092.6313,206.73999,2299.37129
2019-09-09,2079.118,250.41002,2329.5280199999997
2019-09-10,1980.5636,643.64856,2624.21216
2019-09-11,1988.7401,625.6864,2614.4265
2019-09-12,1902.4379,949.1421,2851.58
2019-09-13,2103.3403,156.68005,2260.02035
2019-09-14,2140.693,19.429996,2160.122996
2019-09-15,2116.4937,115.19999,2231.69369
2019-09-16,2051.528,366.906,2418.4339999999997
2019-09-17,2035.2285,434.77533,2470.00383
2019-09-18,2032.0686,441.5488,2473.6174
2019-09-19,2048.1843,384.1683,2432.3525999999997
2019-09-20,2054.8958,343.6799,2398.5757
2019-09-21,2093.8071,195.26999,2289.0770899999998
2019-09-22,2135.875,37.429993,2173.304993
2019-09-23,1994.736,605.6443,2600.3803000000003
2019-09-24,2002.99,579.0937,2582.0837
2019-09-25,2070.425,294.48993,2364.9149300000004
