date,exercise_sessions,exercise_calories,exercise_duration,distance_km,avg_heart_rate_ex
2019-06-14,1,88.62,16.195333333333334,0.72846,
2019-06-23,5,532.3499999999999,116.90035,5.044029999999999,
2019-07-17,1,45.84,11.510116666666667,0.43788,
2019-08-14,1,44.1,11.025216666666667,0.41178,
2019-08-17,1,44.32,11.028033333333333,0.40864,
2019-08-20,1,97.24,16.13175,0.59869,
2019-08-27,2,425.06,69.64545000000001,2.6191201,
2019-08-28,1,107.01,17.287666666666667,0.65859,
2019-08-29,3,387.389996,63.47856666666667,2.38735,
2019-08-30,1,63.95,11.181766666666666,0.39104,
2019-09-03,2,412.99,67.26505,2.56458,
2019-09-10,2,300.01999,48.5291,1.8444399999999999,
2019-09-11,2,320.53,51.13758333333334,1.9731900000000002,
2019-09-12,1,146.64,24.90135,0.90064,
2019-09-16,1,204.83,34.03475,1.25489,
2019-09-17,1,212.25,35.0724,1.30299,
2019-09-18,1,189.54,30.4828,1.17216,
2019-09-19,1,215.2,35.427566666666664,1.32126,
2019-09-23,3,349.04,55.8603,2.1501900000000003,
2019-09-24,3,408.86996999999997,65.22246666666666,2.5244401400000003,
2019-09-28,2,209.67000000000002,34.619483333333335,1.2955,
2019-09-30,1,208.06999,33.01278333333333,1.2930599999999999,
2019-10-01,1,197.47,31.339266666666667,1.2255,
2019-10-03,2,383.61,63.14623333333333,2.36559,
2019-10-05,1,178.86,29.000533333333333,1.1031,
2019-10-07,1,100.159996,16.290366666666667,0.61545,
2019-10-08,1,78.65,12.190283333333333,0.48634,
2019-10-10,1,118.24,18.0638,0.73634,
2019-10-11,2,216.20999999999998,34.086283333333334,1.34097,
2019-11-15,1,49.68,13.103183333333334,0.9527100000000001,
2019-11-18,2,192.559998,46.70825,3.69144,
2019-11-19,2,210.84999800000003,52.457449999999994,4.02107,
2019-11-20,1,66.92,16.777283333333333,1.27147,
2019-12-06,1,54.719997,15.554433333333334,1.05484,
2019-12-07,1,66.57,15.67795,1.2897,
2019-12-24,1,101.47,31.926933333333334,1.93697,
2020-01-08,3,144.69,36.567949999999996,2.75981,
2020-01-14,1,102.9,24.7496,1.97252,
2020-01-16,2,163.92000000000002,39.97095,3.1532799000000002,
2020-02-05,2,231.29000000000002,41.25836666666667,2.8836999999999997,
2020-02-23,2,177.339995,45.7958,3.4114199999999997,
2020-02-26,1,45.2,11.70305,0.86052,
2020-03-07,1,80.62,20.079766666666668,1.57302,
2020-03-11,1,117.53,17.979133333333333,1.48226,
2020-03-12,1,79.62,19.259666666666668,1.52348,
2020-05-24,1,64.72,11.158316666666666,0.80257,
2020-05-25,1,77.729996,12.840183333333334,0.95943,
2020-05-26,1,96.58,16.3224,1.19249,
2020-05-27,1,70.49,11.70715,0.869,
2020-05-29,1,75.6,12.644733333333333,0.9329100300000001,
2020-05-30,1,179.44,29.538633333333333,2.23054,
2020-06-01,1,94.93,18.04245,1.1845999999999999,
