date,avg_heart_rate,min_heart_rate,max_heart_rate,hr_readings
2025-02-19,76.5,71.0,82.0,2
2025-02-20,77.5,59.0,96.0,15
2025-02-21,81.3,59.0,108.0,24
2025-02-22,75.3,55.0,114.0,61
2025-02-23,69.1,57.0,89.0,20
2025-02-24,92.4,70.0,127.0,15
2025-02-25,79.4,59.0,107.0,25
2025-02-26,80.2,63.0,93.0,12
2025-02-27,83.6,65.0,101.0,19
2025-02-28,92.4,59.0,127.0,11
2025-03-01,92.9,65.0,149.0,13
2025-03-02,81.0,63.0,97.0,4
2025-03-03,89.1,74.0,127.0,24
2025-03-04,87.3,62.0,110.0,11
2025-03-05,85.2,72.0,103.0,14
2025-03-06,93.4,57.0,135.0,14
2025-03-07,93.2,70.0,129.0,15
2025-03-08,96.2,79.0,117.0,4
2025-03-09,82.9,51.0,106.0,18
2025-03-10,72.0,72.0,72.0,1
2025-03-11,79.9,68.0,120.0,18
2025-03-12,86.4,67.0,114.0,30
2025-03-13,94.8,69.0,114.0,16
2025-03-14,86.3,72.0,94.0,14
2025-03-15,74.0,69.0,84.0,7
2025-03-16,79.4,66.0,93.0,28
2025-03-17,91.3,54.0,130.0,17
2025-03-18,93.2,70.0,110.0,14
2025-03-19,92.0,58.0,139.0,16
2025-03-20,93.5,79.0,133.0,10
2025-03-21,90.2,58.0,127.0,5
2025-03-22,87.3,63.0,113.0,23
2025-03-24,79.6,61.0,122.0,17
2025-03-25,88.0,54.0,140.0,19
2025-03-26,92.1,76.0,116.0,9
2025-03-27,78.8,55.0,131.0,20
2025-03-28,88.1,73.0,102.0,11
2025-03-29,82.3,73.0,91.0,6
2025-03-30,75.7,60.0,139.0,7
2025-03-31,78.0,74.0,84.0,3
2025-04-01,82.0,65.0,108.0,21
2025-04-02,83.7,71.0,107.0,12
2025-04-03,77.3,62.0,102.0,7
2025-04-04,95.5,90.0,101.0,2
2025-04-05,95.2,76.0,146.0,6
2025-04-06,94.0,72.0,143.0,11
2025-04-07,84.5,67.0,97.0,12
2025-04-08,85.0,67.0,103.0,2
2025-04-09,81.4,64.0,110.0,29
2025-04-10,95.0,65.0,137.0,8
2025-04-11,73.0,69.0,82.0,4
2025-04-12,83.9,70.0,98.0,17
2025-04-13,76.4,62.0,89.0,19
2025-04-14,86.5,74.0,106.0,4
2025-04-15,77.6,60.0,133.0,28
2025-04-16,82.8,64.0,122.0,15
2025-04-18,82.8,66.0,98.0,11
2025-04-19,87.8,62.0,173.0,12
2025-04-20,83.2,65.0,102.0,9
2025-04-21,92.0,69.0,187.0,12
2025-04-22,79.6,58.0,111.0,16
2025-04-23,95.8,76.0,115.0,12
2025-04-24,81.8,60.0,109.0,20
2025-04-25,82.4,66.0,110.0,19
2025-04-26,72.2,63.0,84.0,4
2025-04-27,71.4,56.0,87.0,11
2025-04-28,76.0,58.0,107.0,21
2025-04-29,76.4,62.0,95.0,12
2025-04-30,72.0,62.0,91.0,4
2025-05-01,77.3,55.0,101.0,14
2025-05-03,73.6,58.0,92.0,27
2025-05-04,67.0,67.0,67.0,1
2025-05-05,80.2,62.0,108.0,13
2025-05-06,82.7,69.0,102.0,23
2025-05-07,121.3,86.0,174.0,3
2025-05-08,72.0,71.0,73.0,2
2025-05-09,91.2,69.0,105.0,19
2025-05-10,77.8,61.0,105.0,9
2025-05-11,84.7,62.0,107.0,10
2025-05-12,87.7,67.0,136.0,17
2025-05-13,84.1,75.0,98.0,12
2025-05-14,86.7,72.0,103.0,14
2025-05-15,79.8,65.0,96.0,8
2025-05-16,88.5,81.0,99.0,8
2025-05-19,81.7,71.0,94.0,3
2025-05-20,78.4,70.0,101.0,10
2025-05-21,89.0,89.0,89.0,1
2025-05-22,76.0,68.0,84.0,2
2025-05-23,72.0,61.0,84.0,6
2025-05-25,101.0,101.0,101.0,1
2025-05-26,54.0,54.0,54.0,1
2025-05-27,79.8,70.0,91.0,5
2025-05-28,81.5,68.0,128.0,16
2025-05-30,81.6,57.0,94.0,11
2025-05-31,88.0,81.0,98.0,6
2025-06-01,82.0,63.0,96.0,15
2025-06-04,74.7,60.0,89.0,3
2025-06-05,83.1,58.0,105.0,10
2025-06-06,101.5,58.0,191.0,19
2025-06-08,80.0,74.0,85.0,7
2025-06-09,81.0,54.0,103.0,27
2025-06-10,75.0,69.0,80.0,3
2025-06-13,89.7,74.0,102.0,11
2025-06-14,180.0,180.0,180.0,1
2025-06-15,94.2,89.0,97.0,4
2025-06-16,90.5,65.0,112.0,12
2025-06-17,87.2,60.0,126.0,27
2025-06-18,102.7,57.0,198.0,9
2025-06-19,81.5,52.0,104.0,11
2025-06-20,80.5,55.0,95.0,24
2025-06-21,80.7,69.0,99.0,6
2025-06-22,83.2,54.0,107.0,17
2025-06-23,84.0,60.0,102.0,17
2025-06-24,80.5,62.0,117.0,14
2025-06-25,114.8,86.0,176.0,12
2025-06-26,73.5,64.0,83.0,15
2025-06-27,82.2,68.0,96.0,12
2025-06-28,77.0,69.0,82.0,3
2025-06-30,72.4,67.0,88.0,9
2025-07-01,101.3,68.0,145.0,6
2025-07-02,84.1,59.0,110.0,9
2025-07-03,102.5,85.0,126.0,4
2025-07-04,72.6,59.0,97.0,27
2025-07-05,75.0,65.0,91.0,18
2025-07-06,71.9,58.0,99.0,19
2025-07-07,77.1,57.0,93.0,8
2025-07-08,87.7,70.0,110.0,39
2025-07-09,86.8,54.0,109.0,35
2025-07-12,77.6,62.0,94.0,21
2025-07-13,88.3,67.0,104.0,12
2025-07-14,87.6,67.0,115.0,12
2025-07-15,80.3,63.0,103.0,29
2025-07-16,98.0,98.0,98.0,1
2025-07-17,89.2,59.0,126.0,23
2025-07-18,79.1,56.0,115.0,19
2025-07-19,78.5,61.0,177.0,26
2025-07-20,83.5,67.0,106.0,12
2025-07-21,82.8,60.0,106.0,13
2025-07-22,88.4,58.0,197.0,19
2025-07-23,84.4,69.0,98.0,19
2025-07-24,80.4,72.0,91.0,9
2025-07-25,85.3,65.0,106.0,15
2025-07-26,80.4,62.0,98.0,16
2025-07-28,84.6,73.0,106.0,18
2025-07-29,84.3,55.0,116.0,30
2025-07-31,80.0,60.0,105.0,7
2025-08-03,72.7,31.0,98.0,26
2025-08-04,69.6,52.0,85.0,11
2025-08-05,86.0,67.0,110.0,5
2025-08-07,75.7,54.0,100.0,43
2025-08-08,69.4,56.0,88.0,35
2025-08-09,83.4,57.0,118.0,35
2025-08-10,84.2,67.0,110.0,6
2025-08-11,77.1,60.0,97.0,50
2025-08-12,86.5,56.0,116.0,38
2025-08-13,83.2,47.0,101.0,37
2025-08-14,83.0,53.0,103.0,21
2025-08-17,78.0,58.0,109.0,46
2025-08-18,88.4,66.0,112.0,10
2025-08-19,89.5,60.0,114.0,28
2025-08-20,95.2,88.0,110.0,5
2025-08-21,86.3,78.0,95.0,3
2025-08-22,108.7,75.0,169.0,3
2025-08-23,88.8,61.0,119.0,9
2025-08-24,90.0,76.0,100.0,3
2025-08-25,89.9,64.0,103.0,11
2025-08-26,94.3,61.0,112.0,15
