date,steps,distance_m,speed,step_calorie,distance_km
2019-06-12,1543,439.50006,1.2193489,57.099995,0.43950006
2019-06-13,6410,2318.19,1.1653078,257.24994,2.31819
2019-06-14,10748,3977.0696,1.271569,461.50992,3.9770695999999996
2019-06-15,8556,3036.7698,1.2488091,344.6799,3.0367698
2019-06-16,3724,1262.7899,1.2571653,151.60999,1.2627899
2019-06-17,5138,1767.38,1.1958508,207.69997,1.7673800000000002
2019-06-18,1440,470.73996,1.2911475,58.429996,0.47073996
2019-06-19,3310,1131.69,1.2164713,135.44998,1.13169
2019-06-20,3853,1310.7501,1.1816266,156.13995,1.3107501
2019-06-21,4565,1409.37,1.2406595,186.55998,1.4093699999999998
2019-06-22,3443,1209.5201,1.1531825,138.56998,1.2095201
2019-06-23,36921,13747.499,1.6505588,1562.2097,13.747499
2019-06-24,7195,2632.52,1.173448,288.3899,2.63252
2019-06-25,4325,1531.9698,1.2171125,174.46997,1.5319698000000002
2019-06-26,2281,715.50995,1.2280481,93.72999,0.71550995
2019-06-27,3313,1022.37994,1.2595991,134.84999,1.02237994
2019-06-28,5385,1608.73,1.262574,220.35999,1.60873
2019-06-29,3522,1062.28,1.3418794,144.95,1.06228
2019-06-30,1302,343.79,1.2851242,53.84,0.34379000000000004
2019-07-01,1310,415.56,1.2773948,52.689995,0.41556
2019-07-02,995,271.21,1.2937433,37.159996,0.27121
2019-07-03,1979,528.77997,1.1980808,73.12,0.5287799700000001
2019-07-04,2715,730.7,1.2567347,100.47,0.7307
2019-07-05,3915,1088.85,1.2682198,142.37,1.0888499999999999
2019-07-06,2651,742.42004,1.2180896,97.939995,0.74242004
2019-07-07,2236,697.27,1.2279261,84.399994,0.69727
2019-07-08,1552,483.72003,1.350347,60.379997,0.48372003
2019-07-09,5158,1678.88,1.1647874,199.45,1.6788800000000001
2019-07-10,4344,1341.8401,1.2545601,161.79997,1.3418401
2019-07-11,818,225.95999,1.3201835,29.689999,0.22595999
2019-07-12,938,265.18,1.2914495,33.989998,0.26518
2019-07-13,6525,2019.58,1.3051852,243.22998,2.01958
2019-07-14,8473,2664.8,1.3004781,320.28998,2.6648
2019-07-15,2909,854.82,1.258785,109.47,0.85482
2019-07-16,7437,2316.73,1.336924,280.12,2.31673
2019-07-17,2001,688.5,1.2813997,80.89,0.6885
2019-07-18,4356,1473.5399,1.2241466,176.95998,1.4735399
2019-07-19,5635,1792.57,1.3467331,230.46997,1.79257
2019-07-20,6404,2228.54,1.1900705,259.76993,2.2285399999999997
2019-07-21,1419,457.63,1.3321048,57.659996,0.45763
2019-07-22,2073,688.24,1.2728481,84.46,0.68824
2019-07-23,888,262.43,1.2725939,36.28,0.26243
2019-07-24,1152,361.88,1.327544,46.909996,0.36188
2019-07-25,2496,820.0301,1.2720877,96.01998,0.8200301
2019-07-26,4457,1503.3699,1.2800595,181.29997,1.5033698999999998
2019-07-27,1994,671.07,1.3332281,81.86,0.67107
2019-07-28,2782,952.36,1.3071631,118.2,0.95236
2019-07-29,2080,627.3,1.3008131,87.41999,0.6273
2019-07-30,2989,955.86,1.2095218,121.42,0.95586
2019-07-31,4067,1297.8701,1.1928014,156.44998,1.2978701000000001
2019-08-01,5461,1768.0203,1.1740605,209.75996,1.7680202999999999
2019-08-02,3501,1132.6101,1.2774044,131.17998,1.1326101000000002
2019-08-03,430,113.310005,1.2980044,17.73,0.113310005
2019-08-04,347,91.549995,1.3207713,14.46,0.091549995
2019-08-05,104,25.45,1.2269536,4.18,0.02545
2019-08-06,434,123.509995,1.3705788,18.36,0.123509995
2019-08-07,437,119.82,1.2696081,18.0,0.11982
2019-08-08,341,97.78,1.3693821,13.889999,0.09778
2019-08-09,405,112.32,1.2965382,17.34,0.11231999999999999
2019-08-10,709,199.07,1.288031,29.41,0.19907
2019-08-11,3117,944.96,1.2648985,118.42999,0.94496
2019-08-12,3883,1329.43,1.1661547,151.81999,1.3294300000000001
2019-08-13,1262,420.33002,1.1287477,49.25,0.42033001999999997
2019-08-14,5843,1994.72,1.2560854,225.20999,1.99472
2019-08-15,1860,507.66,1.250831,70.59,0.50766
2019-08-16,6670,2200.9102,1.2397335,256.25998,2.2009101999999996
2019-08-17,7602,2512.77,1.2809113,295.61996,2.51277
2019-08-18,2522,704.9,1.1758281,94.59,0.7049
2019-08-19,14311,4736.8403,1.155247,557.49994,4.7368403
2019-08-20,10288,3462.8105,1.1809546,619.64984,3.4628105000000002
2019-08-21,1855,537.92,1.2555264,108.829994,0.53792
2019-08-22,1567,427.13998,1.3187385,92.99999,0.42713998
2019-08-23,3200,898.4701,1.2765312,189.00998,0.8984701
2019-08-24,2138,587.71,1.2526395,124.659996,0.5877100000000001
2019-08-25,6743,1920.97,1.2691349,395.17996,1.92097
2019-08-26,7264,2355.4001,1.1424412,432.75992,2.3554000999999998
2019-08-27,17930,6322.421,1.1913218,1072.8298,6.322421
2019-08-28,14220,4964.6406,1.1709424,849.48987,4.9646406
2019-08-29,18086,6396.3906,1.2083341,1082.8098,6.3963906
2019-08-30,7183,2294.25,1.343138,438.81995,2.29425
2019-08-31,1040,278.96,1.2973704,63.809998,0.27896
2019-09-01,1818,490.93,1.2684995,106.28999,0.49093000000000003
2019-09-02,1022,269.86,1.3561848,59.879997,0.26986
2019-09-03,13055,4659.04,1.2124729,780.70996,4.65904
2019-09-04,5109,1657.4001,1.2212083,304.74997,1.6574001
2019-09-05,2833,880.86993,1.2630769,167.76,0.8808699299999999
2019-09-06,2270,701.41003,1.1395059,134.59999,0.70141003
2019-09-07,4991,1542.5599,1.299188,299.36996,1.5425598999999999
2019-09-08,3396,1060.41,1.3055934,206.73999,1.06041
2019-09-09,4195,1368.79,1.1745521,250.40999,1.36879
2019-09-10,10704,3763.0503,1.1788685,639.0099,3.7630502999999997
2019-09-11,10377,3680.1104,1.2206604,621.1799,3.6801104000000002
2019-09-12,15363,5233.96,1.2764715,948.3899,5.23396
2019-09-13,2644,787.36,1.2486477,156.68,0.7873600000000001
2019-09-14,335,87.74,1.2564946,19.429998,0.08774
2019-09-15,1935,638.41003,1.2782632,115.2,0.63841003
2019-09-16,6127,2128.9502,1.1844766,366.49997,2.1289502000000002
2019-09-17,7258,2572.1802,1.2023067,433.66992,2.5721801999999996
2019-09-18,7349,2557.9004,1.1964658,438.6399,2.5579004
2019-09-19,6393,2224.31,1.215333,381.30997,2.22431
2019-09-20,5721,1910.47,1.2228459,343.67996,1.9104700000000001
2019-09-21,3245,1039.53,1.2545835,195.26999,1.03953
2019-09-22,629,182.42,1.3204255,37.429996,0.18242
2019-09-23,10021,3539.6003,1.2312101,600.21985,3.5396003
2019-09-24,9524,3381.8303,1.241903,572.5099,3.3818303000000003
2019-09-25,4727,1551.17,1.2966987,294.49,1.5511700000000002
2019-09-26,1426,405.74997,1.4123929,85.219986,0.40574997
2019-09-27,1859,553.04004,1.3568921,110.869995,0.55304004
2019-09-28,9553,3349.6401,1.2128456,570.97,3.3496401000000002
2019-09-29,4594,1528.6802,1.1925068,274.61996,1.5286802
2019-09-30,8892,3126.1802,1.1939855,532.7899,3.1261802
2019-10-01,10812,3702.32,1.2225736,650.16,3.7023200000000003
2019-10-02,5163,1579.41,1.316799,310.14993,1.57941
2019-10-03,9731,3458.1204,1.1784716,582.17993,3.4581204
2019-10-04,2842,862.44,1.192999,168.59999,0.8624400000000001
2019-10-05,7028,2399.32,1.1814467,418.20996,2.3993200000000003
2019-10-06,3210,1056.23,1.170788,190.46999,1.05623
2019-10-07,7077,2436.2502,1.2137841,425.0399,2.4362502
2019-10-08,3972,1394.5201,1.2114123,238.51996,1.3945201
2019-10-09,6581,2265.6802,1.2092568,402.43994,2.2656802
2019-10-10,5352,1861.7404,1.2486113,319.62985,1.8617404
2019-10-11,10256,3526.3306,1.2419177,609.8598,3.5263305999999996
2019-10-12,1639,1236.99,1.2800671,96.829994,1.23699
2019-10-13,3119,2329.51,1.2371413,183.46999,2.3295100000000004
2019-10-14,3871,2859.77,1.2040455,230.05998,2.85977
2019-10-15,6010,4483.52,1.2398483,356.81995,4.48352
2019-10-16,4491,3336.3901,1.2201447,266.65997,3.3363901
2019-10-17,8243,6104.06,1.2214139,491.69992,6.1040600000000005
2019-10-18,5544,4185.39,1.2916338,333.15997,4.18539
2019-10-19,5334,4001.41,1.2664198,319.78998,4.00141
2019-10-20,508,391.64,1.4030938,30.959997,0.39164
2019-10-21,780,583.68,1.2550678,46.29999,0.58368
2019-10-22,5424,4071.13,1.2716198,323.02,4.07113
2019-10-23,2401,1881.97,1.3936541,150.29999,1.88197
2019-10-24,1637,1213.52,1.1999892,96.039986,1.21352
2019-10-25,4944,3645.51,1.1813693,293.22998,3.6455100000000003
2019-10-26,1551,1171.77,1.2996051,91.69999,1.17177
2019-10-27,6680,5043.72,1.2553492,405.96997,5.04372
2019-10-28,4613,3573.77,1.2677438,193.01,3.57377
2019-10-29,2310,1769.3,1.2783637,94.189995,1.7692999999999999
2019-10-30,2104,1627.94,1.3120571,86.369995,1.6279400000000002
2019-10-31,964,743.28,1.299317,39.79,0.7432799999999999
2019-11-01,1314,1011.8999,1.2716751,54.56999,1.0118999
2019-11-02,868,667.42,1.2918665,35.9,0.66742
2019-11-03,1527,1165.13,1.2511904,62.6,1.16513
2019-11-04,645,496.96,1.2832319,27.06,0.49695999999999996
2019-11-05,1192,913.93,1.2884266,52.579998,0.9139299999999999
2019-11-06,4159,3158.32,1.2112876,169.70999,3.1583200000000002
2019-11-07,5651,4243.72,1.2606772,337.53998,4.243720000000001
2019-11-08,8309,6384.05,1.3160952,408.81,6.38405
2019-11-09,7489,5782.92,1.3082387,306.94,5.78292
2019-11-10,12420,9546.47,1.270952,510.95996,9.54647
2019-11-11,3169,2447.21,1.295033,132.11,2.44721
2019-11-12,3810,3015.07,1.3681891,162.73999,3.01507
2019-11-13,3735,2828.81,1.1936462,152.51,2.82881
2019-11-14,5219,3968.49,1.2255931,211.22997,3.9684899999999996
2019-11-15,9691,7462.09,1.275093,399.07996,7.46209
2019-11-16,5023,3804.4897,1.2111521,202.57997,3.8044897
2019-11-17,1123,878.29,1.3909442,45.88,0.87829
2019-11-18,8885,6811.0396,1.2885766,359.66995,6.8110396
2019-11-19,10380,7923.54,1.2694644,418.06995,7.92354
2019-11-20,5495,4162.58,1.2263235,221.45998,4.16258
2019-11-21,439,339.19,1.3645071,17.73,0.33919
2019-11-22,5736,4398.1997,1.2814171,233.46999,4.3981997
2019-11-23,2092,1628.72,1.3449717,85.649994,1.62872
2019-11-24,785,701.38,1.554393,40.399998,0.70138
2019-11-25,4515,3440.1199,1.2364639,183.44998,3.4401199
2019-11-26,7532,5748.85,1.251142,305.13995,5.74885
2019-11-27,5250,4040.21,1.2692586,215.42998,4.04021
2019-11-28,5259,4049.67,1.2664063,216.51,4.04967
2019-11-29,7530,5847.23,1.3269969,310.11,5.84723
2019-11-30,1903,1484.68,1.3605111,78.15999,1.48468
2019-12-01,2454,1917.2098,1.3794016,100.61999,1.9172098000000002
2019-12-02,4429,3355.4102,1.2097343,179.01999,3.3554101999999997
2019-12-03,5192,4004.44,1.2944878,212.52998,4.00444
2019-12-04,5972,4608.68,1.2815956,246.08998,4.6086800000000006
2019-12-05,4896,3787.46,1.2958337,202.51,3.78746
2019-12-06,5545,4234.36,1.2558926,224.09995,4.23436
2019-12-07,9477,7264.91,1.2884986,380.99,7.2649099999999995
2019-12-08,927,713.37,1.2846997,37.969997,0.7133700000000001
2019-12-09,661,513.04004,1.3569785,27.09,0.51304004
2019-12-10,4902,3800.8896,1.3233016,199.69995,3.8008896
2019-12-11,2036,1570.0399,1.2913802,83.84,1.5700399
2019-12-12,6034,4655.61,1.2910097,245.82997,4.655609999999999
2019-12-13,7998,6166.1396,1.313154,324.48996,6.1661396
2019-12-14,7113,5588.17,1.3654345,296.06998,5.58817
2019-12-15,1312,1008.42,1.2844669,53.62,1.0084199999999999
