date,step_count,calorie,run_step_count,walk_step_count,active_time_min,distance_km
2019-06-12,1543,57.099995,0,1543,6.0073,0.43950006
2019-06-13,6410,257.24994,0,6410,33.15486666666666,2.31819
2019-06-14,10748,461.50992,438,10310,52.1267,3.9770695999999996
2019-06-15,8556,344.6799,0,8556,40.52766666666667,3.0367698
2019-06-16,3724,151.60999,3,3721,16.741233333333334,1.2627899
2019-06-17,5138,207.69997,0,5138,24.63211666666667,1.7673800000000002
2019-06-18,1440,58.429996,0,1440,6.0765,0.47073996
2019-06-19,3310,135.44998,21,3289,15.505083333333333,1.13169
2019-06-20,3853,156.13995,3,3850,18.487933333333334,1.3107501
2019-06-21,4565,186.55998,4,4561,18.933066666666665,1.4093699999999998
2019-06-22,3443,138.56998,0,3443,17.4809,1.2095201
2019-06-23,36921,1562.2097,1123,35798,138.8166,13.747499
2019-06-24,7195,288.3899,0,7195,37.389266666666664,2.63252
2019-06-25,4325,174.46997,4,4321,20.978183333333334,1.5319698000000002
2019-06-26,2281,93.72999,4,2277,9.71065,0.71550995
2019-06-27,3313,134.84999,0,3313,13.527833333333334,1.02237994
2019-06-28,5385,220.35999,1,5384,21.236116666666668,1.60873
2019-06-29,3522,144.95,10,3512,13.1929,1.06228
2019-06-30,1302,53.84,0,1302,4.458583333333333,0.34379000000000004
2019-07-01,1310,52.689995,0,1310,5.4216,0.41556
2019-07-02,995,37.159996,1,994,3.4938666666666665,0.27121
2019-07-03,1979,73.12,1,1978,7.35525,0.5287799700000001
2019-07-04,2715,100.47,2,2713,9.68925,0.7307
2019-07-05,3915,142.37,0,3915,14.309416666666667,1.0888499999999999
2019-07-06,2651,97.939995,1,2650,10.15745,0.74242004
2019-07-07,2236,84.399994,8,2228,9.463533333333332,0.69727
2019-07-08,1552,60.379997,53,1499,5.96985,0.48372003
2019-07-09,5158,199.45,10,5148,24.021516666666667,1.6788800000000001
2019-07-10,4344,161.79997,20,4324,17.826166666666666,1.3418401
2019-07-11,818,29.689999,6,812,2.8526333333333334,0.22595999
2019-07-12,938,33.989998,0,938,3.421866666666667,0.26518
2019-07-13,6525,243.22998,37,6488,25.787916666666668,2.01958
2019-07-14,8473,320.28998,172,8301,34.14978333333333,2.6648
2019-07-15,2909,109.47,34,2875,11.31715,0.85482
2019-07-16,7437,280.12,41,7396,28.8798,2.31673
2019-07-17,2001,80.89,0,2001,8.954633333333334,0.6885
2019-07-18,4356,176.95998,3,4353,20.06126666666667,1.4735399
2019-07-19,5635,230.46997,5,5630,22.184166666666666,1.79257
2019-07-20,6404,259.76993,1,6403,31.210183333333333,2.2285399999999997
2019-07-21,1419,57.659996,0,1419,5.725316666666667,0.45763
2019-07-22,2073,84.46,4,2069,9.0118,0.68824
2019-07-23,888,36.28,0,888,3.436933333333333,0.26243
2019-07-24,1152,46.909996,0,1152,4.542833333333333,0.36188
2019-07-25,2496,96.01998,0,2496,10.743883333333333,0.8200301
2019-07-26,4457,181.29997,1,4456,19.573233333333334,1.5033698999999998
2019-07-27,1994,81.86,9,1985,8.388533333333333,0.67107
2019-07-28,2782,118.2,65,2717,12.142333333333333,0.95236
2019-07-29,2080,87.41999,18,2062,8.037266666666667,0.6273
2019-07-30,2989,121.42,0,2989,13.171316666666666,0.95586
2019-07-31,4067,156.44998,24,4043,18.134066666666666,1.2978701000000001
2019-08-01,5461,209.75996,0,5461,25.098366666666667,1.7680202999999999
2019-08-02,3501,131.17998,12,3489,14.777483333333333,1.1326101000000002
2019-08-03,430,17.73,0,430,1.4549166666666666,0.113310005
2019-08-04,347,14.46,0,347,1.1550666666666667,0.091549995
2019-08-05,104,4.18,0,104,0.3457,0.02545
2019-08-06,434,18.36,1,433,1.5019166666666666,0.123509995
2019-08-07,437,18.0,0,437,1.5726833333333334,0.11982
2019-08-08,341,13.889999,0,341,1.1899,0.09778
2019-08-09,405,17.34,2,403,1.4438333333333333,0.11231999999999999
