weight,height,body_fat,muscle_mass,fat_free_mass,basal_metabolic_rate,date
105.0,,,,,,2019-08-19
103.5,,,,,,2020-07-05
103.5,,,,,,2020-07-05
103.5,,,,,,2020-07-05
102.0,182.9,,,,,2021-02-22
97.9,182.9,,,,,2021-03-22
84.6,182.9,,,,,2021-05-25
82.0,182.9,,,,,2021-06-23
85.0,182.9,,,,,2021-11-28
86.0,182.9,,,,,2022-02-20
84.5,182.9,,,,,2022-03-28
100.0,182.9,23.0,,,2033.0,2023-04-09
100.0,182.9,23.0,,,2033.0,2023-07-31
100.0,182.9,,,,,2023-12-09
97.2,182.9,,,,,2024-01-16
96.2,182.9,,,,,2024-04-30
99.7,182.9,,,,,2025-03-20
