feature,importance_fatloss_classifier,importance_weightchange_regressor,avg_importance
month,0.15804043100434317,0.18931230539829438,0.17367636820131876
rest_days_since_workout,0.09805407514015824,0.15059555390710344,0.12432481452363084
calorie_balance_7d_avg,0.13785776131431587,0.10385929780576057,0.12085852956003823
workouts_prev_14d,0.0763025726375148,0.1353274980770173,0.10581503535726605
steps_avg_prev_week,0.05876110733822668,0.06131169899153177,0.06003640316487922
avg_heart_rate,0.04553564047165597,0.054689256525691336,0.050112448498673655
total_calories_burned,0.07051885759271725,0.017762186417584397,0.044140522005150826
sleep_consistency_7d,0.0366042542419956,0.04095637583232128,0.03878031503715844
net_calorie_balance,0.06307419983025322,0.014324441769485746,0.038699320799869485
sleep_debt_7d,0.030639339935312312,0.046115292306241,0.038377316120776654
step_count,0.03915741925655993,0.02994997947507275,0.03455369936581634
exercise_duration,0.02897614314346815,0.038907845942272215,0.03394199454287018
sleep_avg_prev_week,0.027621002716007998,0.03255086227668175,0.03008593249634487
sleep_hours,0.023276512083027157,0.03476465424265493,0.029020583162841042
water_ml,0.027058378877277283,0.02699365597662692,0.0270260174269521
weekly_workout_count,0.03900711763678376,0.009854273717050851,0.024430695676917306
workout_intensity_score,0.015843269719477852,0.007850957978462242,0.011847113848970046
floor_count,0.01704024559813636,0.003264597824752357,0.010152421711444358
consecutive_workout_days,0.004673951052886889,0.0009159241625129656,0.0027949376076999276
is_weekend,0.001957720409881375,0.0006933413728819599,0.0013255308913816674
